"V2","V3","V6","V8","V9","V11","V14","V16","V17","V18","V19","V20"
NA,NA,-1.65,-0.78,6.89,NA,-2.57,-1.31,-0.19,-5.97,2.96,-0.29
NA,NA,-9.27,-9.17,-8.59,NA,-8.59,-8.59,-2.67,-8.59,-1.6,-6.41
NA,NA,-6.12,-7.48,-7.77,NA,-6.89,-6.12,-6.12,-1.99,-6.12,-7.82
NA,0.05,-2.82,-4.85,-0.87,NA,2.77,-3.69,1.46,0.39,3.4,-4.17
NA,NA,-4.95,6.21,2.72,-8.59,6.07,6.89,-7.67,-3.93,-5.63,-7.23
NA,NA,3.11,4.42,1.41,NA,1.5,6.94,5.83,2.23,0.87,0.05
NA,NA,-0.05,-8.11,-7.38,NA,0.29,-7.33,-7.96,-6.89,-6.84,-6.17
NA,NA,6.8,-2.38,-7.82,NA,2.43,-0.19,-3.98,-7.62,6.55,7.38
8.2,8.35,3.06,-6.89,-9.76,NA,-9.56,-9.42,-9.37,-9.22,6.94,-8.54
NA,NA,3.06,0.15,8.98,NA,-0.73,8.59,8.59,1.46,1.55,-2.62
NA,NA,-8.93,5,6.21,NA,-9.51,5.73,6.55,-0.39,1.5,2.09
NA,NA,6.31,-1.02,-6.55,NA,-6.26,-0.19,-7.82,-1.5,-8.01,-0.78
NA,NA,-0.29,-3.2,-0.29,NA,-5.92,4.56,-4.76,-0.29,1.07,1.65
NA,NA,-8.54,-4.61,-0.1,NA,-9.51,-9.51,-9.13,-7.86,1.94,-6.02
NA,NA,2.33,5.87,0.87,NA,9.17,-4.85,-4.32,-4.47,9.17,7.09
NA,NA,-9.9,-2.48,-9.95,NA,-9.71,6.7,1.07,1.26,5.15,3.83
NA,NA,-4.03,3.4,-0.15,NA,0.15,-1.17,-2.52,-0.15,-4.56,3.01
NA,NA,2.72,-4.95,0.63,NA,-5.49,-1.8,-3.74,-1.65,-3.01,-2.18
NA,NA,-0.87,-0.34,-1.31,NA,-1.5,-1.5,-1.5,0.15,-0.83,-0.78
NA,NA,6.84,-7.14,-8.35,NA,-6.31,5.49,-7.77,-8.3,7.52,7.33
